J. Faith	MG1655 LB wt untreated r1
J. Faith	MG1655 LB wt untreated r2
J. Faith	MG1655 LB wt norf 25ng r1
J. Faith	MG1655 LB wt norf 25ng r2
J. Faith	MG1655 LB wt norf 50ng r1
J. Faith	MG1655 LB wt norf 50ng r2
J. Faith	MG1655 LB wt norf 75ng r1
J. Faith	MG1655 LB wt norf 75ng r2
J. Faith	MG1655 LB wt norf 100ng r1
J. Faith	MG1655 LB wt norf 100ng r2
J. Faith	MG1655 LB D recA untreated r1
J. Faith	MG1655 LB D recA untreated r2
J. Faith	MG1655 LB D recA norf 50ng r1
J. Faith	MG1655 LB D recA norf 50ng r2
J. Faith	MG1655 LB D recA norf 100ng r1
J. Faith	MG1655 LB D recA norf 100ng r2
J. Faith	EMG2 LB untreated t24min r1
J. Faith	EMG2 LB untreated t24min r2
J. Faith	EMG2 LB untreated t24min r3
J. Faith	EMG2 LB untreated t60min r1
J. Faith	EMG2 LB untreated t60min r2
J. Faith	EMG2 LB untreated t60min r3
J. Faith	EMG2 LB norf 25ng t0min r1
J. Faith	EMG2 LB norf 25ng t0min r2
J. Faith	EMG2 LB norf 25ng t0min r3
J. Faith	EMG2 LB norf 25ng t12min r1
J. Faith	EMG2 LB norf 25ng t12min r2
J. Faith	EMG2 LB norf 25ng t12min r3
J. Faith	EMG2 LB norf 25ng t24min r1
J. Faith	EMG2 LB norf 25ng t24min r2
J. Faith	EMG2 LB norf 25ng t24min r3
J. Faith	EMG2 LB norf 25 ng t36min r1
J. Faith	EMG2 LB norf 25 ng t36min r2
J. Faith	EMG2 LB norf 25 ng t36min r3
J. Faith	EMG2 LB norf 25 ng t48min r1
J. Faith	EMG2 LB norf 25 ng t48min r2
J. Faith	EMG2 LB norf 25 ng t48min r3
J. Faith	EMG2 LB norf 25 ng t60min r1
J. Faith	EMG2 LB norf 25 ng t60min r2
J. Faith	EMG2 LB norf 25 ng t60min r3
M. Covert	MG1655 M9 glucose aerobic wt r1
M. Covert	MG1655 M9 glucose aerobic wt r2
M. Covert	MG1655 M9 glucose aerobic wt r3
M. Covert	MG1655 M9 glucose anaerobic D appY r1
M. Covert	MG1655 M9 glucose anaerobic D appY r2
M. Covert	MG1655 M9 glucose anaerobic D appY r3
M. Covert	MG1655 M9 glucose anaerobic D arcA r1
M. Covert	MG1655 M9 glucose anaerobic D arcA r2
M. Covert	MG1655 M9 glucose anaerobic D arcA r3
M. Covert	MG1655 M9 glucose anaerobic D fnr r1
M. Covert	MG1655 M9 glucose anaerobic D fnr r2
M. Covert	MG1655 M9 glucose anaerobic D fnr r3
M. Covert	MG1655 M9 glucose anaerobic D arcA D fnr r1
M. Covert	MG1655 M9 glucose anaerobic D arcA D fnr r2
M. Covert	MG1655 M9 glucose anaerobic D arcA D fnr r3
M. Covert	MG1655 M9 glucose anaerobic D oxyR r1
M. Covert	MG1655 M9 glucose anaerobic D oxyR r2
M. Covert	MG1655 M9 glucose anaerobic D oxyR r3
M. Covert	MG1655 M9 glucose anaerobic D soxS r1
M. Covert	MG1655 M9 glucose anaerobic D soxS r2
M. Covert	MG1655 M9 glucose anaerobic D soxS r3
M. Covert	MG1655 M9 glucose anaerobic wt r1
M. Covert	MG1655 M9 glucose anaerobic wt r2
M. Covert	MG1655 M9 glucose anaerobic wt r3
M. Covert	MG1655 M9 glucose anaerobic wt r4
M. Covert	MG1655 M9 glucose aerobic D appY r1
M. Covert	MG1655 M9 glucose aerobic D appY r2
M. Covert	MG1655 M9 glucose aerobic D appY r3
M. Covert	MG1655 M9 glucose aerobic D arcA r1
M. Covert	MG1655 M9 glucose aerobic D arcA r2
M. Covert	MG1655 M9 glucose aerobic D arcA r3
M. Covert	MG1655 M9 glucose aerobic D fnr r1
M. Covert	MG1655 M9 glucose aerobic D fnr r2
M. Covert	MG1655 M9 glucose aerobic D fnr r3
M. Covert	MG1655 M9 glucose aerobic D arcA D fnr r1
M. Covert	MG1655 M9 glucose aerobic D arcA D fnr r2
M. Covert	MG1655 M9 glucose aerobic D arcA D fnr r3
M. Covert	MG1655 M9 glucose aerobic D oxyR r1
M. Covert	MG1655 M9 glucose aerobic D oxyR r2
M. Covert	MG1655 M9 glucose aerobic D oxyR r3
M. Covert	MG1655 M9 glucose aerobic D soxS r1
M. Covert	MG1655 M9 glucose aerobic D soxS r2
M. Covert	MG1655 M9 glucose aerobic D soxS r3
T. Allen	EMG2 MOPS glucose aerobic r1
T. Allen	EMG2 MOPS glucose aerobic r2
T. Allen	EMG2 MOPS glucose aerobic r3
T. Allen	EMG2 MOPS glucose aerobic r4
T. Allen	EMG2 MOPS glucose aerobic r5
T. Allen	EMG2 MOPS glycerol aerobic r1
T. Allen	EMG2 MOPS glycerol aerobic r2
T. Allen	EMG2 MOPS proline aerobic r1
T. Allen	EMG2 MOPS proline aerobic r2
T. Allen	EMG2 MOPS acetate aerobic r1
T. Allen	EMG2 MOPS acetate aerobic r2
T. Allen	EMG2 MOPS glucose late log t90min r1
T. Allen	EMG2 MOPS glucose late log t90min r2
T. Allen	EMG2 MOPS glucose late log t90min r3
T. Allen	EMG2 MOPS glucose stationary t135min r1
T. Allen	EMG2 MOPS glucose stationary t135min r2
T. Allen	EMG2 MOPS glucose stationary t330min r1
T. Allen	EMG2 MOPS glucose stationary t330min r2
T. Allen	EMG2 MOPS glucose stationary t480min r1
T. Allen	EMG2 MOPS glucose stationary t480min r2
T. Allen	EMG2 MOPS glucose stationary t720min r1
T. Allen	EMG2 MOPS glucose stationary t720min r2
T. Allen	EMG2 MOPS acid shock ph2 t10min r1
T. Allen	EMG2 MOPS acid shock ph2 t10min r2
T. Allen	EMG2 MOPS ciprofloxacin 20ng t10min r1
T. Allen	EMG2 MOPS ciprofloxacin 20ng t10min r2
T. Allen	EMG2 MOPS glucose heat shock 50C t10min r1
T. Allen	EMG2 MOPS D crp r1
T. Allen	EMG2 MOPS D crp r2
T. Allen	EMG2 MOPS D crp r3
T. Allen	EMG2 MOPS D cspA r1
T. Allen	EMG2 MOPS D dps r1
T. Allen	EMG2 MOPS D dps r2
T. Allen	EMG2 MOPS D dps r3
T. Allen	EMG2 MOPS D dps stationary t240m r1
T. Allen	EMG2 MOPS D dps stationary t240m r2
T. Allen	EMG2 MOPS D dps stationary t480m r1
T. Allen	EMG2 MOPS D hns r1
